Libelle;Densite de generalistes lib. 2024;Densite de population (historique depuis 1876) en 2022.;Part des personnes agees de 75 ans ou plus, 2022;Taux d'activité par tranche d'âge (25 à 59 ans), 2022;Part des ménages fiscaux imposés, 2021;Part des actifs occupés de 15 ans ou plus qui utilisent principalement les transports en commun pour aller travailler, 2022;Présence d'une faculté de médecine;Part de bénéf. de produits pharma dans la pop 2024;Densité d'infirmiers lib. 2024;Densité de kinés lib. 2024;Indice de vieillissement 2022
ZONE;DENS_MED_LIB;DENSITE;PART_75;TAUX_ACTIV;PART_IMPOT;PART_TRANS_COMM;UNIV;PART_PHARMA;DENS_INF;DENS_KIN;IND_VIEIL
Pau;9.6;118.6;11.8;91.7;52.6;4.1;0;93.4;22.2;20;108.3
Perigueux;7.5;48.6;14;90.6;45.7;2.6;0;92.9;19.5;9.1;155.4
Poitiers;9.6;70.9;10.5;91.7;50;6.1;1;89.4;10.9;9.2;92.4
Rochefort;9.4;117.8;12.2;91.9;48.6;4.1;0;91.8;17.7;11.9;128.3
Royan;9.1;122.8;18.8;91.5;51.8;1.3;0;97.5;18.8;12.8;267
Saint-Junien;7.8;26.8;15.9;91;40.9;1.2;0;90.5;21.2;7.8;185.3
Saintes;9.4;67.6;13.2;91.9;46.3;1.7;0;93.6;17.2;10.3;143.4
Sarlat-la-Caneda;7.6;34.1;15.4;91.3;44.4;1.4;0;92.6;24.6;8.9;198.4
Thouars;6;39.8;13.1;91.9;41.4;0.8;0;89.7;13.6;3.8;128.5
Tulle;7.2;30.3;15.5;90.9;47.7;1.5;0;91;26;10.6;178.2
Villeneuve-sur-Lot;5.4;56.7;15.2;88;40;1.3;0;91.6;20.6;10.1;151.3
Agde-Pezenas;7.6;214.5;14.3;87.6;42.9;2.9;0;99.2;25.7;21.1;156.4
Albi;7.8;74.5;13.2;90.8;46.1;3.9;0;95.1;25.5;14.6;120.2
Ales-Le Vigan;6.4;67.3;13.2;86;38.9;2;0;91.7;29.6;13.8;139.8
Auch;8.6;29.2;15;91.4;45.3;1.4;0;91.7;21.3;11.1;155.8
Bagnols-sur-Ceze;5.6;99.2;11;88.9;49.3;2;0;93;21.7;9.2;107.4
